"id","name","ima","imayear","yeardiscovery","yearrruff","yearminref","yearmintype","strunz10ed1","strunz10ed2","strunz10ed3","strunz10ed4","ima_status","shortcode_ima","loccount"
"42244","Aklimaite","1","2011",,"2011","\N","2012","9","H","0",,"1","Akm","1"
"53220","Akopovaite","0","\N",,"2018","\N","2020","5","D","A","55","1","Av","1"
"72","Akrochordite","6","0","1915","1922","1922","1922","8","D","D","10","9","Akr","5"
"73","Aksaite","1","0","1962","1962","1962","1962","6","F","A","05","1","Aks","1"
"74","Aktashite","11","2008","1968","1968","1968","\N","2","G","A","30","1","Ats","25"
"89","Alabandite","6","0","1832","1822","1784","\N","2","C","D","10","9","Abd","365"
"91","Alacránite","1","1985","1985","1985","1970","1986","2","F","A","20","1","Acr","20"
"93","Alamosite","6","0","1909","1909","1909","1909","9","D","O","20","9","Aam","18"
"94","Alarsite","1","1993",,"1993","1936","\N","8","A","A","05","1","Ars","2"
"46619","Albertiniite","1","2015",,"2015","\N","\N","4","J","E","X","1","Abt","1"
"96","Albite","6","0","1815","1815","1823","\N","9","F","A","35","9","Ab","10431"
"3231","Albite-Anorthite Series","0","0",,"\N","1968","\N","\N",,,,"0","Pl","\N"
"97","Albrechtschraufite","1","1983","1983","1983","1984","\N","5","E","D","15","1","Asf","2"
"43596","Alburnite","1","0",,"2012","\N","2014","2","B","A",,"1","Alb","2"
"54031","Alcantarillaite","0","\N",,"2019","\N","2020","8","D","M","60","1","Alc","1"
"42525","Alcaparrosaite","1","2011",,"2011","\N","2012","7","D","F",,"1","Apr","2"
"104","Aldermanite","1","1980",,"1980","1981","1981","8","D","E","35","1","Adm","5"
"40398","Aldridgeite","1","2010",,"2010","\N","2015","7","D","F",,"1","Adg","3"
"39438","Aleksandrovite","1","2009",,"2009","\N","\N","9","C","J","25","1","Asd","1"
"108","Aleksite","1","0","1978","1977","1978","1978","2","G","C","40a","1","Alk","30"
"52922","Aleutite","0","\N",,"2018","\N","2019","8","B","B","50","1","Aeu","1"
"46633","Alexkhomyakovite","1","2015",,"2015","\N","2019","5","D","A",,"1","Akmy","1"
"54361","Alexkuznetsovite-(Ce)","0","\N",,"2020","\N","\N","0","0","0",,"5","Axk-Ce","1"
"54042","Alexkuznetsovite-(La)","0","\N",,"2019","\N","\N","9","B","E","82","5","Axk-La","1"
"38701","Alflarsenite","1","2008","1969","2008","\N","\N","9","0","0",,"1","Alf","1"
"112","Alforsite","1","1980","1980","1980","1979","\N","8","B","N","05","1","Afr","7"
"46683","Alfredopetrovite","1","2015",,"2015","\N","\N","7","C","A","X","1","Afd","1"
"35790","Alfredstelznerite","1","2007",,"2007","\N","\N","6","D","0",,"1","Asz","1"
"114","Algodonite","6","1857","1857","1857","1944","\N","2","A","A","10a","9","Ago","47"
