"id","name","ima","imayear","yeardiscovery","yearrruff","yearminref","yearmintype","strunz10ed1","strunz10ed2","strunz10ed3","strunz10ed4","ima_status","type_desc","shortcode_ima","loccount"
"27471","Ungavaite","1","2004","","2004",\N,"2005","2","A","C","35b","1","McDonald, A.M., Cabri, L.J., Stanley, C.J., Rudashevsky, N.S., Poirier, G., Mungall, J.E., Ross, K.C., Durham, B.R., Rudashevsky, V.N. (2005) Ungavaite, Pd4Sb3, a new intermetallic mineral species from the Mesamax Northwest deposit, Ungava region, Québec, Canada: Description and genetic implications. CAnadian Mineralogist: 43: 1735-1744.","Ugv","6"
"4095","Ungemachite","6","0","1936","1938","1936",\N,"7","D","G","10","9","","Ugm","3"
"4096","Upalite","1","1978","1978","1978","1979","1979","8","E","C","05","1","Deliens, M., Piret, P. (1979) Les phosphates d'uranyle et d'aluminium de Kobokobo. II. La phuralumite Al2(UO2)3(PO4)2(OH)6·10H2O et l'upalite Al(UO2)3(PO4)2(OH)3, nouveax minéraux. Bulletin de Minéralogie: 102: 333-337.","Upa","4"
"4097","Uralborite","1","0","1961","1961","1961","1961","6","D","A","35","1","Malinko, S.V. (1961) New boron minerals — uralborite and pentahydroborite. Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva: 90(6): 673-681.","Ubo","2"
"4099","Uralolite","6","0","1964","1964","1776","1964","8","D","A","15","9","Grigor'ev, N.A. (1964) Uralolite - a new mineral. Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva: 93(2): 156-162.","Url","9"
"28919","Uramarsite","1","2005","","2005",\N,"2007","8","E","B","15","1","Sldorenko, G. A., Chukanov, N. V., Chistyakova, N. I., & Bebeshko, G. I. (2007) Uramarsite (NH4, H30) z {UOZ) 2 (As04, P04) 2• 6HzO: A New Mineral of the Metaautunite Group'. DOKLADY EARTH SCIENCES Vol. 415A No.6 2:965-969","Uaa","3"
"4100","Uramphite","6","0","1957","1957","1957",\N,"8","E","B","15","9","","Uap","1"
"4101","Urancalcarite","1","1983","1983","1983","1984",\N,"5","E","A","10","1","","Uca","6"
"4102","Uraninite","6","0","1772","1845","1797",\N,"4","D","L","05","9","","Urn","3138"
"4105","Uranocircite-II","6","0","1877","1877","1877",\N,"8","E","B","05","9","","Urc-II","99"
"55322","Uranoclite","1","2013","","2021",\N,\N,"0","0","0","","5","","Uro","1"
"4107","Uranophane-α","6","0","1853","1853","1853",\N,"9","A","K","15","9","","Urp-α","1003"
"4106","Uranophane-β","6","0","1935","1935","1935",\N,"9","A","K","15","9","","Urp-β","154"
"4108","Uranopilite","6","0","1882","1882","1854",\N,"7","E","A","05","9","","Up","113"
"4109","Uranopolycrase","1","1990","1990","1990","1993",\N,"4","D","G","05","1","","Uplc","18"
"4110","Uranosilite","1","1981","1981","1981","1983",\N,"9","A","K","40","1","","Usi","3"
"4111","Uranospathite","6","0","1915","1915","1915",\N,"8","E","B","25","9","","Ush","26"
"4112","Uranosphaerite","6","0","1873","1873","1873",\N,"4","G","B","65","9","","Us","21"
"4113","Uranospinite","6","0","1873","1873","1873",\N,"8","E","B","05","9","","Usp","65"
"4115","Uranotungstite","1","1984","1984","1984","1985",\N,"7","H","B","25","1","","Utgs","6"
"4117","Urea","1","1972","1972","1972","1828",\N,"10","C","A","35","9","","Ur","5"
"4118","Uricite","1","1973","1973","1973","1965",\N,"10","C","A","40","1","","Uri","15"
"53223","Uroxite","0",\N,"2016","2018",\N,"2020","10","A","B","","1","Kampf, A.R., Plášil, J., Nash, B.P., Němec, I., Marty, J. (2020) Uroxite and metauroxite, the first two uranyl oxalate minerals. Mineralogical Magazine: 84(1): 131-141.","Urx","2"
"7070","Urusovite","1","1998","","1998",\N,"2000","8","B","B","60","1","Vergasova, L.P., Filatov, S.K., Gorskaya, M.G., Molchanov, A.A., Krivovichev, S.V., Ananiev, V.V. (2000) Urusovite, Cu[AlAsO5], a new mineral from the Tolbachik volcano, Kamchatka, Russia. European Journal of Mineralogy: 12: 1041-1044.","Uusv","3"
"4120","Urvantsevite","1","1976","1976","1976","1957","1976","2","E","B","30","1","Rudashevskii, N.S., Makarov, V.N., Mededeva, E.M., Ballakh, V.V., Permyakov, Y.I., Mitenkov, G.A., Karpenkov, A.M., Budk´ko, I.A., Shishkin, N.N. (1976) Urvantsevite, Pd(Bi,Pb)2, a new mineral in the system Pd-Bi-Pb. Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva: 105(6): 704-709.","Urv","7"
"4129","Ushkovite","1","1982","1982","1982","1983","1983","8","D","C","30","1","Chesnokov, B.V., Vilisov, V.A., Cherepivskaya, G.E., Gorskaya, M.G. (1983) Ushkovite, MgFe3+2(PO4)2(OH)2·8H2O. Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva: 112(1): 42-46.","Ukv","26"
"4121","Usovite","1","1966","1966","1966","1967",\N,"3","C","B","35","1","","Usv","6"
"4122","Ussingite","6","0","1914","1915","1914",\N,"9","E","H","20","9","","Usg","36"
"4123","Ustarasite","7","0","1955","1955","1955",\N,"2","J","B","40e","25","","Utr","11"
"40024","Usturite","1","2009","","2009",\N,\N,"4","C","C","32","1","","Ust","2"
"7348","Utahite","1","0","","1995","1997",\N,"7","D","E","25","1","","Uta","5"
"4124","Uvanite","7","0","1914","1914","1914",\N,"4","H","B","35","25","","Uvn","13"
"4125","Uvarovite","6","0","1832","1832","1832",\N,"9","A","D","25","9","","Uv","236"
"54355","Uvite","0",\N,"","2000","1977",\N,"9","C","K","05","5","","Uvt","11"
"4127","Uytenbogaardtite","1","1977","1977","1977","1966","1978","2","B","A","75","1"," Barton, M.D., Kieft, C., Burke, E.A.J., Oen, I.S. (1978) Uytenbogaardtite, a new silver-gold sulfide. The Canadian Mineralogist: 16: 651-657.","Uyt","62"
