"Mineral Name","Mineral Name (plain)","Year First Published"
"Baratovite","Baratovite","1974"
"Barberiite","Barberiite","1993"
"Barbosalite","Barbosalite","1954"
"Barentsite","Barentsite","1982"
"Bariandite","Bariandite","1970"
"Barićite","Baricite","1975"
"Barikaite","Barikaite","2012"
"Barioferrite","Barioferrite","2009"
"Bario-olgite","Bario-olgite","2003"
"Bario-orthojoaquinite","Bario-orthojoaquinite","1979"
"Barioperovskite","Barioperovskite","2006"
"Bariopharmacoalumite","Bariopharmacoalumite","2010"
"Bariopharmacosiderite","Bariopharmacosiderite","1966"
"Bariosincosite","Bariosincosite","1998"
"Barlowite","Barlowite","2010"
"Barnesite","Barnesite","1963"
"Barquillite","Barquillite","1996"
"Barrerite","Barrerite","1974"
"Barringerite","Barringerite","1968"
"Barroisite","Barroisite","1922"
"Barrotite","Barrotite","2011"
"Barrydawsonite-(Y)","Barrydawsonite-(Y)","2014"
"Barstowite","Barstowite","1989"
"Bartelkeite","Bartelkeite","1979"
"Bartonite","Bartonite","1977"
"Barwoodite","Barwoodite","2017"
"Barylite","Barylite","1876"
"Barysilite","Barysilite","1888"
"Baryte","Baryte","1778"
"Barytocalcite","Barytocalcite","1824"
"Barytolamprophyllite","Barytolamprophyllite","1959"
"Bassanite","Bassanite","1910"
"Bassetite","Bassetite","1915"
"Bassoite","Bassoite","2011"
"Bastnäsite-(Ce)","Bastnasite-(Ce)","1841"
"Bastnäsite-(La)","Bastnasite-(La)","1966"
"Bastnäsite-(Nd)","Bastnasite-(Nd)","2011"
"Bastnäsite-(Y)","Bastnasite-(Y)","1970"
"Batagayite","Batagayite","2017"
"Batievaite-(Y)","Batievaite-(Y)","2015"
"Batiferrite","Batiferrite","1997"
"Batisite","Batisite","1960"
"Batisivite","Batisivite","2006"
"Baumhauerite","Baumhauerite","1902"
"Baumhauerite II","Baumhauerite II","1959"
"Baumoite","Baumoite","2017"
"Baumstarkite","Baumstarkite","1999"
"Bauranoite","Bauranoite","1971"
"Bavenite","Bavenite","1901"
"Bavsiite","Bavsiite","2014"
"Bayerite","Bayerite","1928"
"Bayldonite","Bayldonite","1865"
"Bayleyite","Bayleyite","1951"
"Baylissite","Baylissite","1975"
"Bazhenovite","Bazhenovite","1986"
"Bazirite","Bazirite","1976"
"Bazzite","Bazzite","1915"
"Bearsite","Bearsite","1962"
"Bearthite","Bearthite","1986"
"Beaverite-(Cu)","Beaverite-(Cu)","1911"
"Beaverite-(Zn)","Beaverite-(Zn)","2010"
"Bechererite","Bechererite","1994"
"Beckettite","Beckettite","2015"
"Becquerelite","Becquerelite","1922"
"Bederite","Bederite","1998"
"Beershevaite","Beershevaite","2021"
"Béhierite","Behierite","1961"
"Behoite","Behoite","1969"
"Běhounekite","Behounekite","2010"
"Beidellite","Beidellite","1925"
"Belakovskiite","Belakovskiite","2013"
"Belendorffite","Belendorffite","1989"
"Belkovite","Belkovite","1989"
"Bellbergite","Bellbergite","1990"
"Bellidoite","Bellidoite","1970"
"Bellingerite","Bellingerite","1940"
"Belloite","Belloite","1998"
"Belogubite","Belogubite","2018"
"Belomarinaite","Belomarinaite","2018"
"Belousovite","Belousovite","2016"
"Belovite-(Ce)","Belovite-(Ce)","1954"
"Belovite-(La)","Belovite-(La)","1995"
"Belyankinite","Belyankinite","1950"
"Bementite","Bementite","1888"
"Benauite","Benauite","1995"
"Benavidesite","Benavidesite","1980"
"Bendadaite","Bendadaite","1998"
"Benitoite","Benitoite","1907"
"Benjaminite","Benjaminite","1925"
"Benleonardite","Benleonardite","1985"
"Bennesherite","Bennesherite","2019"
"Benstonite","Benstonite","1961"
"Bentorite","Bentorite","1979"
"Benyacarite","Benyacarite","1995"
"Beraunite","Beraunite","1841"
"Berborite","Berborite","1967"
"Berdesinskiite","Berdesinskiite","1980"
"Berezanskite","Berezanskite","1996"
"Bergenite","Bergenite","1959"
"Bergslagite","Bergslagite","1983"
"Berlinite","Berlinite","1868"
"Bermanite","Bermanite","1936"
"Bernalite","Bernalite","1991"
"Bernardite","Bernardite","1987"
"Bernarlottiite","Bernarlottiite","2013"
"Berndtite","Berndtite","1966"
"Berryite","Berryite","1965"
"Berthierine","Berthierine","1832"
"Berthierite","Berthierite","1827"
"Bertossaite","Bertossaite","1965"
"Bertrandite","Bertrandite","1878"
"Beryl","Beryl","0"
"Beryllite","Beryllite","1954"
"Beryllonite","Beryllonite","1888"
"Berzelianite","Berzelianite","1832"
"Berzeliite","Berzeliite","1840"
"Beshtauite","Beshtauite","2012"
"Betalomonosovite","Betalomonosovite","1950"
"Betekhtinite","Betekhtinite","1955"
"Betpakdalite-CaCa","Betpakdalite-CaCa","1961"
"Betpakdalite-CaMg","Betpakdalite-CaMg","2011"
"Betpakdalite-FeFe","Betpakdalite-FeFe","2017"
"Betpakdalite-NaCa","Betpakdalite-NaCa","1971"
"Betpakdalite-NaNa","Betpakdalite-NaNa","2011"
"Bettertonite","Bettertonite","2014"
"Betzite","Betzite","2021"
"Beudantite","Beudantite","1826"
"Beusite","Beusite","1968"
"Beusite-(Ca)","Beusite-(Ca)","2017"
"Beyerite","Beyerite","1943"
"Bezsmertnovite","Bezsmertnovite","1979"
"Biachellaite","Biachellaite","2007"
"Biagioniite","Biagioniite","2020"
"Bianchiniite","Bianchiniite","2019"
"Bianchite","Bianchite","1930"
"Bicapite","Bicapite","2018"
"Bicchulite","Bicchulite","1973"
"Bideauxite","Bideauxite","1969"
"Bieberite","Bieberite","1845"
"Biehlite","Biehlite","1999"
"Bigcreekite","Bigcreekite","1999"
"Bijvoetite-(Y)","Bijvoetite-(Y)","1981"
"Bikitaite","Bikitaite","1957"
"Bilibinskite","Bilibinskite","1977"
"Bílinite","Bilinite","1913"
"Billietite","Billietite","1947"
"Billingsleyite","Billingsleyite","1967"
"Billwiseite","Billwiseite","2010"
"Bimbowrieite","Bimbowrieite","2020"
"Bindheimite","Bindheimite","1800"
"Biphosphammite","Biphosphammite","1870"
"Biraite-(Ce)","Biraite-(Ce)","2003"
"Biraite-(La)","Biraite-(La)","2020"
"Birchite","Birchite","2006"
"Biringuccite","Biringuccite","1961"
"Birnessite","Birnessite","1956"
"Birunite","Birunite","1957"
"Bischofite","Bischofite","1877"
"Bismite","Bismite","1868"
"Bismoclite","Bismoclite","1935"
"Bismuth","Bismuth","1530"
"Bismuthinite","Bismuthinite","1832"
"Bismutite","Bismutite","1841"
"Bismutocolumbite","Bismutocolumbite","1991"
"Bismutoferrite","Bismutoferrite","1871"
"Bismutohauchecornite","Bismutohauchecornite","1978"
"Bismutostibiconite","Bismutostibiconite","1981"
"Bismutotantalite","Bismutotantalite","1929"
"Bitikleite","Bitikleite","2009"
"Bityite","Bityite","1908"
"Bixbyite","Bixbyite","1897"
"Bjarebyite","Bjarebyite","1972"
"Blakeite","Blakeite","1944"
"Blatonite","Blatonite","1997"
"Blatterite","Blatterite","1984"
"Bleasdaleite","Bleasdaleite","1998"
"Blixite","Blixite","1958"
"Blödite","Blodite","1821"
"Blossite","Blossite","1986"
"Bluebellite","Bluebellite","2013"
"Bluelizardite","Bluelizardite","2013"
"Bluestreakite","Bluestreakite","2014"
"Bobcookite","Bobcookite","2014"
"Bobfergusonite","Bobfergusonite","1984"
"Bobfinchite","Bobfinchite","2021"
"Bobierrite","Bobierrite","1868"
"Bobjonesite","Bobjonesite","2000"
"Bobkingite","Bobkingite","2000"
"Bobmeyerite","Bobmeyerite","2012"
"Bobshannonite","Bobshannonite","2014"
"Bobtraillite","Bobtraillite","2001"
"Bodieite","Bodieite","2018"
"Bogdanovite","Bogdanovite","1978"
"Bøggildite","Boggildite","1951"
"Boggsite","Boggsite","1989"
"Bøgvadite","Bogvadite","1987"
"Bohdanowiczite","Bohdanowiczite","1967"
"Böhmite","Bohmite","1927"
"Bohseite","Bohseite","2010"
"Bohuslavite","Bohuslavite","2019"
"Bojarite","Bojarite","2020"
"Bokite","Bokite","1963"
"Boleite","Boleite","1891"
"Bolivarite","Bolivarite","1921"
"Boltwoodite","Boltwoodite","1956"
"Bonaccordite","Bonaccordite","1974"
"Bonacinaite","Bonacinaite","2018"
"Bonattite","Bonattite","1957"
"Bonazziite","Bonazziite","2013"
"Bonshtedtite","Bonshtedtite","1981"
"Boothite","Boothite","1903"
"Boracite","Boracite","1789"
"Boralsilite","Boralsilite","1996"
"Borax","Borax","0"
"Borcarite","Borcarite","1965"
"Borisenkoite","Borisenkoite","2015"
"Borishanskiite","Borishanskiite","1974"
"Bornemanite","Bornemanite","1973"
"Bornhardtite","Bornhardtite","1955"
"Bornite","Bornite","1845"
"Borocookeite","Borocookeite","2000"
"Borodaevite","Borodaevite","1991"
"Boromullite","Boromullite","2007"
"Boromuscovite","Boromuscovite","1989"
"Borovskite","Borovskite","1972"
"Bortnikovite","Bortnikovite","2006"
"Boscardinite","Boscardinite","2010"
"Bosiite","Bosiite","2014"
"Bosoite","Bosoite","2014"
